# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
cooler	locus	clone	condition	snpsplit_tag	allele	replicate	path	merge_loops	merge_comps	use
Mecp2_B1621_Rad21-dTAG_G2_Xa	Mecp2	B1621	Rad21-dTAG	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_B1621_Rad21-dTAG_G2_Xa.cool	Mecp2_dTAG_Xa	Mecp2_Rad21-dTAG_Xa,Mecp2_dTAG_Xa	true
Mecp2_B1_WT_G1_Xa	Mecp2	B1	WT	G1	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_B1_WT_G1_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_B1_WT_G2_Xi	Mecp2	B1	WT	G2	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_B1_WT_G2_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_C5C10_CTCF-NodTAG_G1_Xa	Mecp2	C5C10	CTCF-NodTAG	G1	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5C10_CTCF-NodTAG_G1_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_C5C10_CTCF-NodTAG_G2_Xi	Mecp2	C5C10	CTCF-NodTAG	G2	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5C10_CTCF-NodTAG_G2_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_C5C10_CTCF-dTAG_G1_Xa	Mecp2	C5C10	CTCF-dTAG	G1	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5C10_CTCF-dTAG_G1_Xa.cool	Mecp2_dTAG_Xa	Mecp2_CTCF-dTAG_Xa,Mecp2_dTAG_Xa	true
Mecp2_C5C10_CTCF-dTAG_G2_Xi	Mecp2	C5C10	CTCF-dTAG	G2	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5C10_CTCF-dTAG_G2_Xi.cool	Mecp2_dTAG_Xi	Mecp2_CTCF-dTAG_Xi,Mecp2_dTAG_Xi	true
Mecp2_C5_WT_G1_Xa	Mecp2	C5	WT	G1	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5_WT_G1_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_C5_WT_G2_Xi	Mecp2	C5	WT	G2	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_C5_WT_G2_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_CL30_WT_G1_Xi	Mecp2	CL30	WT	G1	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_CL30_WT_G1_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_CL30_WT_G2_Xa	Mecp2	CL30	WT	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_CL30_WT_G2_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_E6A7_CTCF-NodTAG_G1_Xi	Mecp2	E6A7	CTCF-NodTAG	G1	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6A7_CTCF-NodTAG_G1_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_E6A7_CTCF-NodTAG_G2_Xa	Mecp2	E6A7	CTCF-NodTAG	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6A7_CTCF-NodTAG_G2_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
